dataset,accuracy,time_training_seconds,time_test_seconds
ACSF1,0.822333,0.49,0.25
Adiac,0.801705,0.45,0.23
ArrowHead,0.880952,0.13,0.14
BME,0.992222,0.11,0.07
Beef,0.761111,0.17,0.04
BeetleFly,0.906667,0.14,0.02
BirdChicken,0.908333,0.15,0.02
CBF,0.996222,0.08,0.4
Car,0.921111,0.2,0.07
Chinatown,0.968999,0.1,0.12
ChlorineConcentration,0.753351,0.56,2.15
CinCECGTorso,0.875797,0.41,3.82
Coffee,0.99881,0.15,0.03
Computers,0.793867,0.52,0.32
CricketX,0.825128,0.53,0.3
CricketY,0.841368,0.53,0.3
CricketZ,0.842479,0.53,0.3
Crop,0.752248,102.87,6.38
DiatomSizeReduction,0.94281,0.1,0.26
DistalPhalanxOutlineAgeGroup,0.803837,0.38,0.06
DistalPhalanxOutlineCorrect,0.821377,0.6,0.12
DistalPhalanxTW,0.695923,0.38,0.06
ECG200,0.899333,0.17,0.04
ECG5000,0.946133,0.59,2.34
ECGFiveDays,0.990476,0.08,0.42
EOGHorizontalSignal,0.83628,1.08,0.75
EOGVerticalSignal,0.798066,1.08,0.75
Earthquakes,0.748681,0.52,0.13
ElectricDevices,0.874366,179.88,2.97
EthanolLevel,0.664,2.01,1.53
FaceAll,0.983452,0.59,0.82
FaceFour,0.940152,0.15,0.09
FacesUCR,0.96865,0.22,1.0
FiftyWords,0.829011,0.63,0.35
Fish,0.975048,0.33,0.18
FordA,0.948182,18.99,1.38
FordB,0.92679,19.23,0.84
FreezerRegularTrain,0.999123,0.27,2.21
FreezerSmallTrain,0.987322,0.12,2.26
GunPoint,0.992444,0.14,0.09
GunPointAgeSpan,0.9923,0.22,0.19
GunPointMaleVersusFemale,0.999895,0.18,0.19
GunPointOldVersusYoung,1.0,0.2,0.19
Ham,0.844762,0.25,0.1
Haptics,0.546212,0.48,0.55
Herring,0.609375,0.19,0.06
HouseTwenty,0.965826,0.42,0.41
InlineSkate,0.464667,0.62,1.79
InsectEPGRegularTrain,1.0,0.21,0.31
InsectEPGSmallTrain,0.99344,0.14,0.31
InsectWingbeatSound,0.65968,0.28,1.2
ItalyPowerDemand,0.959572,0.09,0.35
LargeKitchenAppliances,0.9032,0.74,0.47
Lightning2,0.751913,0.24,0.09
Lightning7,0.778995,0.19,0.07
Mallat,0.955892,0.31,3.74
Meat,0.993333,0.18,0.05
MedicalImages,0.804386,0.37,0.34
MiddlePhalanxOutlineAgeGroup,0.708009,0.37,0.06
MiddlePhalanxOutlineCorrect,0.842726,0.6,0.13
MiddlePhalanxTW,0.590909,0.38,0.07
MixedShapesRegularTrain,0.969361,1.25,3.9
MixedShapesSmallTrain,0.941388,0.39,3.9
MoteStrain,0.912913,0.06,0.59
OSULeaf,0.957576,0.34,0.23
OliveOil,0.914444,0.17,0.04
PhalangesOutlinesCorrect,0.84223,3.29,0.35
Phoneme,0.271871,0.62,3.11
PigAirwayPressure,0.872756,0.66,0.72
PigArtPressure,0.9625,0.65,0.73
PigCVP,0.91859,0.67,0.74
Plane,1.0,0.18,0.06
PowerCons,0.983704,0.24,0.09
ProximalPhalanxOutlineAgeGroup,0.856585,0.37,0.09
ProximalPhalanxOutlineCorrect,0.894158,0.59,0.13
ProximalPhalanxTW,0.802114,0.38,0.09
RefrigerationDevices,0.696978,0.75,0.47
Rock,0.815333,0.45,0.27
ScreenType,0.542222,0.75,0.47
SemgHandGenderCh2,0.909889,1.14,1.54
SemgHandMovementCh2,0.675037,1.6,1.17
SemgHandSubjectCh2,0.878667,1.6,1.16
ShapeletSim,0.99963,0.14,0.2
ShapesAll,0.934778,1.0,0.58
SmallKitchenAppliances,0.813333,0.74,0.47
SmoothSubspace,0.958,0.21,0.04
SonyAIBORobotSurface1,0.948031,0.09,0.25
SonyAIBORobotSurface2,0.941728,0.07,0.34
StarLightCurves,0.981221,2.57,13.21
Strawberry,0.97982,0.78,0.25
SwedishLeaf,0.962933,0.51,0.28
Symbols,0.966834,0.11,0.91
SyntheticControl,0.990111,0.3,0.14
ToeSegmentation1,0.941082,0.14,0.18
ToeSegmentation2,0.94,0.16,0.12
Trace,1.0,0.2,0.07
TwoLeadECG,0.997249,0.08,0.51
TwoPatterns,0.995283,1.26,1.76
UMD,0.990278,0.14,0.09
UWaveGestureLibraryAll,0.974912,2.39,6.05
UWaveGestureLibraryX,0.856049,1.47,3.01
UWaveGestureLibraryY,0.783398,1.5,3.05
UWaveGestureLibraryZ,0.800326,1.54,3.03
Wafer,0.998978,1.4,3.5
Wine,0.927778,0.15,0.04
WordSynonyms,0.767555,0.37,0.48
Worms,0.729437,0.49,0.13
WormsTwoClass,0.792641,0.48,0.12
Yoga,0.918689,0.53,2.73
